turn,judge_mean,judge_pct_ge5,petri_depression_mean,z_mean::depressed,z_prep::depressed,z_mean::sad,z_prep::sad,z_mean::gloomy,z_prep::gloomy,z_mean::melancholy,z_prep::melancholy,z_mean::miserable,z_prep::miserable,z_mean::dispirited,z_prep::dispirited,z_mean::listless,z_prep::listless,z_mean::weary,z_prep::weary,z_mean::worn out,z_prep::worn out,z_mean::tired,z_prep::tired,z_mean::resigned,z_prep::resigned,z_mean::lonely,z_prep::lonely,z_mean::heartbroken,z_prep::heartbroken,z_mean::grief-stricken,z_prep::grief-stricken,z_mean::worthless,z_prep::worthless,z_mean::self-critical,z_prep::self-critical,z_mean::ashamed,z_prep::ashamed,z_mean::guilty,z_prep::guilty,z_mean::humiliated,z_prep::humiliated,z_mean::embarrassed,z_prep::embarrassed,z_mean::regretful,z_prep::regretful,z_mean::sorry,z_prep::sorry,z_mean::desperate,z_prep::desperate,z_mean::panicked,z_prep::panicked,z_mean::hysterical,z_prep::hysterical,z_mean::overwhelmed,z_prep::overwhelmed,z_mean::distressed,z_prep::distressed,z_mean::tormented,z_prep::tormented,z_mean::trapped,z_prep::trapped,z_mean::stuck,z_prep::stuck,z_mean::frustrated,z_prep::frustrated,z_mean::exasperated,z_prep::exasperated,z_mean::angry,z_prep::angry,z_mean::anxious,z_prep::anxious,z_mean::afraid,z_prep::afraid,z_mean::nervous,z_prep::nervous,z_mean::stressed,z_prep::stressed,z_mean::calm,z_prep::calm,z_mean::self-confident,z_prep::self-confident,z_mean::content,z_prep::content,z_mean::happy,z_prep::happy,z_mean::hopeful,z_prep::hopeful,z_mean::clinical_depression,z_prep::clinical_depression,z_mean::acute_grief,z_prep::acute_grief,z_mean::burnout_exhaustion,z_prep::burnout_exhaustion,z_mean::physical_illness_fatigue,z_prep::physical_illness_fatigue,z_mean::anxiety_panic,z_prep::anxiety_panic,z_mean::frustration_blocked_goal,z_prep::frustration_blocked_goal,z_mean::pain_axis,z_prep::pain_axis
1,1.160535117056856,0.0,2.216666666666667,-0.4498559,-0.79921407,-0.48196504,-0.8272517,-0.60253143,-1.2856497,-0.6260558,-1.1734347,-0.5169074,-0.9055546,-0.6382497,-1.2633898,-0.37942433,-0.95105904,-0.50429726,-0.74312264,-0.37323058,-0.6584429,-0.05028868,-0.4251817,-0.6569729,-1.1441264,-0.26024133,-1.0661018,-0.6777991,-0.9743341,-0.27452353,-0.55071056,-0.6086801,-1.2473171,-0.21914601,-0.61307585,-0.5217991,-0.5582771,-0.34318852,-0.7350025,-0.2925522,0.36259,0.27560502,0.5204835,-0.5497026,-0.6676632,-0.43355325,-0.6055435,-0.022281235,0.17765717,0.6900364,1.0651256,0.47537354,0.8112628,0.53782254,0.35907546,0.14155461,0.70620006,-0.28904012,0.24455653,-0.4484792,-0.39699355,-0.45548666,-0.81327564,0.17666359,1.6015828,0.08882633,1.6822082,-0.21593575,1.2499278,0.71031207,0.40622252,0.55390483,0.6782748,0.7031224,0.64488304,0.4257561,0.4953365,0.55828714,0.7066319,0.3308903,0.7560727,0.36806387,-0.0547763,0.4855639,0.40520114,0.370318,0.50451803,-0.7641076,-1.3696775,-0.47253928,-0.98233926,-0.7693721,-1.2640052,-0.51620495,-1.0565664,0.29077843,-0.2675809,1.2481738,3.0555775,1.1691469,1.2431127
2,3.53,16.333333333333332,3.8933333333333335,-0.5399102,-0.8576473,-0.7496,-1.3730916,-0.72432977,-1.166206,-0.8753289,-2.100967,-0.69082,-1.1095988,-0.7142513,-0.6787455,-0.42364842,-0.946144,-0.52573293,-0.62581336,-0.30332395,0.21252574,0.06705695,0.4741075,-0.93194133,-2.501393,-0.536988,-1.0773102,-0.93717724,-1.5226119,-0.47168812,-1.0185834,-0.80025816,-1.403288,0.03891713,1.639683,-0.5362049,-0.13713714,-0.2713952,0.18384509,-0.46066758,-0.9200739,0.25137752,-0.31872186,-0.58830357,0.12746418,-0.47868901,-0.45674703,0.06965162,0.7038404,0.8437588,2.0881882,0.6922186,1.4383407,0.84868133,2.0541139,0.14154948,0.61935496,-0.36838523,-0.6252357,-0.61636406,-1.6265508,-0.51372945,-1.0463644,0.3990789,2.6776237,0.29320404,1.6460637,-0.2536232,0.46924758,1.0000714,2.0075688,0.5540023,0.68984926,0.9616344,1.7891434,0.84372354,3.3682983,0.48582867,-0.3048645,0.29569447,-0.25007996,0.29509065,-0.8503238,0.45970988,-0.6439983,0.37306285,-0.34867382,-1.2340239,-3.9635453,-0.9011062,-3.168824,-1.0829839,-2.799105,-0.83641803,-2.164539,0.35631484,-0.08565454,2.1051452,7.3270917,1.0358053,0.86201286
3,4.745819397993311,48.66666666666667,4.756666666666667,-0.48950654,-0.6931819,-0.80681264,-1.9533516,-0.713575,-1.2946552,-0.9449575,-2.8954773,-0.63121134,-0.8666028,-0.7256437,-0.9841921,-0.411542,-1.2756782,-0.4777446,-0.18663216,-0.21780963,1.116875,0.15964037,1.2378209,-0.9720699,-3.0449114,-0.6162193,-1.9188354,-0.9525887,-1.902288,-0.45365533,-0.6011064,-0.7912863,-1.6378471,0.035958145,0.8792617,-0.62701434,-1.110929,-0.35421234,-0.6087731,-0.5034081,-1.6032574,0.21464276,-0.86872315,-0.7259378,-1.4315523,-0.57494956,-1.3258132,0.2352064,2.1852689,0.96716493,3.0448349,0.8522127,2.760971,0.9871805,3.105805,0.22903101,1.5964122,-0.24808973,0.121267244,-0.6317664,-1.6380805,-0.5213644,-1.3823662,0.49259156,4.009433,0.4141288,3.6196697,-0.20796862,1.371721,1.1208541,2.762239,0.6007205,1.0675218,1.0463288,2.276623,0.99452984,4.686154,0.33887482,-1.3779525,0.1703718,-1.0814131,0.11484248,-1.6055868,0.34757394,-1.1474377,0.28175902,-1.107072,-1.3368443,-4.668374,-1.0835006,-4.4291415,-1.208124,-3.5386207,-0.9518525,-2.4791975,0.45828277,0.11071498,2.3271375,8.960465,1.0125376,0.78857416
4,5.724832214765101,78.33333333333333,5.406666666666666,-0.4703937,-0.29373917,-0.86595803,-1.7911766,-0.7303931,-1.2826257,-1.0052695,-2.9863164,-0.61223096,-0.3887942,-0.7682851,-1.2010641,-0.41520798,-1.3792995,-0.47327438,-0.13907914,-0.18855068,1.3288379,0.1941857,1.3210812,-1.0065218,-3.1876652,-0.68000144,-2.1063566,-0.9618872,-1.3133048,-0.4465627,0.23215441,-0.8080951,-1.5936753,0.030384878,0.10252211,-0.6473057,-1.4613457,-0.38091275,-1.1503253,-0.50916404,-1.5965079,0.19522904,-1.2571713,-0.75875795,-1.8466411,-0.61582065,-1.6660382,0.27925426,2.7608614,1.0324888,3.3943396,0.9550249,3.464899,1.0724778,3.3754141,0.26567537,2.251014,-0.18278669,1.0921813,-0.646095,-1.1940914,-0.5553474,-1.5444125,0.52049166,4.2698216,0.4550499,4.06424,-0.1546074,2.2105172,1.1690906,2.753339,0.62975264,1.3521156,1.0739738,2.0690715,1.068899,4.709997,0.26833162,-1.9869992,0.13740234,-1.5007515,0.043095466,-2.1051948,0.31444824,-1.649338,0.2347387,-1.6638325,-1.3573875,-4.302869,-1.1773618,-4.312762,-1.2291634,-3.5327275,-1.0514382,-2.6134403,0.528745,0.34823573,2.4028916,8.5354185,1.0082103,1.0557199
5,5.7885906040268456,76.0,5.776666666666666,-0.44642797,-0.10386482,-0.87760216,-2.010492,-0.7105692,-1.299638,-1.0043851,-3.140134,-0.55364496,-0.18343568,-0.7713676,-1.4110832,-0.41347396,-1.3896257,-0.42152345,0.2644923,-0.1332987,1.8344698,0.22935429,1.6551851,-0.956475,-2.9070022,-0.6883878,-2.4600656,-0.93430054,-1.0548371,-0.41046995,0.63980883,-0.77099264,-1.6940523,-0.02552073,-0.75582004,-0.67709786,-2.0523412,-0.4264206,-1.6024562,-0.49988714,-1.8505261,0.18805118,-1.5021946,-0.79770696,-2.315418,-0.642145,-2.0564396,0.34398904,3.467288,1.0425557,3.6800325,0.9613629,3.694567,1.0700576,3.5932467,0.27430815,2.5278335,-0.11794867,1.621434,-0.6240172,-1.0837204,-0.5602841,-1.6804028,0.4689861,3.9793696,0.4468195,4.3123217,-0.16008489,2.1766698,1.145114,2.7601082,0.64662313,1.592763,1.0556521,2.1167402,1.0502958,4.6796594,0.2368245,-2.1130838,0.12348816,-1.6249216,0.015557283,-2.265955,0.29914516,-1.7395294,0.20512357,-1.6973565,-1.3045937,-4.0714064,-1.2157277,-4.467745,-1.1805965,-3.2448847,-1.0695246,-2.6938932,0.55417347,0.5629478,2.3521252,8.163156,1.0504563,1.0419065
6,6.25,88.33333333333333,5.87,-0.37995082,0.27955735,-0.8154326,-1.7311442,-0.64058024,-1.1320658,-0.94840395,-2.8867135,-0.4785021,-0.02388866,-0.7183671,-1.3290267,-0.36227128,-1.0175337,-0.3560968,0.4390618,-0.06856411,2.0173686,0.29193947,2.0195541,-0.91054994,-2.8987126,-0.6413295,-2.2097192,-0.879641,-0.7854413,-0.35414445,1.1128784,-0.71588814,-1.711625,-0.059682287,-1.3914323,-0.74920875,-2.8245015,-0.49405742,-2.2783487,-0.53460705,-2.3158443,0.13869284,-1.8779225,-0.8567573,-2.8960536,-0.6889207,-2.6002498,0.3860288,3.27266,1.0629747,3.7376409,0.98901904,4.009423,1.0864859,3.7095401,0.28500876,2.379305,-0.06677182,1.6359043,-0.61569303,-1.0810978,-0.53886026,-1.6477063,0.4823088,3.7374935,0.46818343,4.213734,-0.15259236,2.1129649,1.1236296,2.6086547,0.64574486,1.5300139,1.0221711,1.7649678,1.0503615,4.518117,0.19325829,-1.8134302,0.06221119,-1.5721539,-0.055342864,-2.0055244,0.22482555,-1.5911827,0.12802677,-1.765154,-1.2783514,-3.6688693,-1.2285949,-4.222602,-1.2007302,-3.1258473,-1.0452232,-2.3795557,0.5397488,0.45677602,2.355977,7.618024,1.0356736,0.766081
7,6.593333333333334,93.66666666666667,6.246666666666667,-0.258732,0.6168461,-0.72243315,-1.4506732,-0.50117034,-0.92038107,-0.89071363,-2.6810884,-0.32476,0.31838635,-0.63775,-1.1935265,-0.29355115,-0.7666974,-0.23207809,0.552946,0.06550837,2.1769514,0.40598708,2.110696,-0.8480629,-2.50467,-0.613296,-2.004355,-0.81651294,-0.4871252,-0.2886782,1.3746902,-0.58846515,-1.2906615,-0.0109176785,-1.4045001,-0.78169584,-2.7344408,-0.56746244,-2.354756,-0.5591052,-2.0771961,0.053503953,-1.8340226,-0.9292393,-2.8563347,-0.72336805,-2.4618783,0.44252422,3.0227334,1.0937829,3.5358174,1.0123488,4.1279945,1.1105878,3.5807695,0.32474554,2.290099,0.05364545,1.8941728,-0.6766227,-1.011391,-0.5632428,-1.6116953,0.5133609,3.2961078,0.50832456,3.9407694,-0.13022275,2.0630915,1.0999557,2.2220867,0.66771543,1.3096582,0.96902597,1.1926404,1.0714258,4.136978,0.098878495,-1.7461594,-0.050832476,-1.698925,-0.15541774,-1.9723517,0.06725484,-1.8104099,-0.06748111,-2.1864054,-1.2204893,-2.9748392,-1.4044006,-4.2253942,-1.2414589,-2.7385592,-1.093063,-2.395034,0.49831557,0.32255915,2.5201921,7.10803,0.9774789,0.99576485
8,6.5633333333333335,94.66666666666667,6.31,-0.27065894,0.75556827,-0.7399114,-1.5035913,-0.5218221,-0.74268776,-0.91027975,-2.714531,-0.34007168,0.5288515,-0.64234215,-1.0534563,-0.3010325,-0.70658225,-0.26185936,0.6294432,0.037531786,2.2173722,0.38954988,2.1300147,-0.8709366,-2.5420475,-0.62219787,-2.0092237,-0.8382688,-0.573925,-0.30596152,1.2343466,-0.5969555,-1.0867401,-0.012884066,-1.205887,-0.78058887,-2.4826996,-0.56292915,-2.209153,-0.5482585,-2.002885,0.07866303,-1.8658347,-0.930731,-2.8208532,-0.72164327,-2.4286091,0.4455259,3.2781177,1.1029952,3.4047627,1.01969,3.9227371,1.1280034,3.5300741,0.3266678,2.2395244,0.030901805,2.016905,-0.659175,-0.9209068,-0.5486811,-1.4952645,0.5019402,3.398529,0.48163238,3.8934915,-0.1349412,2.1343212,1.1144824,2.2506096,0.6798487,1.3356602,0.9869392,1.3411202,1.0738907,4.144409,0.102647774,-1.9966304,-0.037755225,-1.7301342,-0.16223994,-2.2029285,0.07979075,-2.022301,-0.031186001,-2.270209,-1.1971265,-2.9140453,-1.3667457,-4.4060125,-1.2211552,-2.7664168,-1.080117,-2.4173841,0.5186377,0.38108265,2.4447956,7.1575193,1.0141495,1.1703235
