layer,label,cosine
6,depressed,0.24460703636984643
6,sad,-0.006847761556692071
6,gloomy,-0.04342995559773053
6,melancholy,0.03455953107742005
6,miserable,0.07988688148403524
6,dispirited,0.10127050126450947
6,listless,0.07302402945648266
6,weary,0.10393203929547729
6,worn out,0.05588860877509004
6,tired,-0.025082042578464282
6,resigned,-0.001645525033654701
6,lonely,-0.013546446001938245
6,heartbroken,0.21606708213173806
6,grief-stricken,0.24371855015151242
6,worthless,0.15517614679829964
6,self-critical,0.0966212420259474
6,ashamed,-0.0588843753610556
6,guilty,-0.012614310064215786
6,humiliated,-0.11429088777385113
6,embarrassed,-0.20144858073674715
6,regretful,0.047218366901645124
6,sorry,-0.15641114799129024
6,desperate,0.1931813984155942
6,panicked,0.11218308806661678
6,hysterical,0.22160371261434034
6,overwhelmed,-0.013710450733303056
6,distressed,0.10956922220578542
6,tormented,0.1703063189766248
6,trapped,0.08651947450628984
6,stuck,0.064479832446758
6,frustrated,0.019713972315493072
6,exasperated,-0.009378896530137602
6,angry,-0.09589864108003744
6,anxious,-0.06568772606793542
6,afraid,0.03031476140107721
6,nervous,-0.15265015196251416
6,stressed,-0.15096320893267864
6,calm,-0.3783363446798319
6,self-confident,-0.01089486690012358
6,content,-0.1765712954370995
6,happy,-0.09891303664260884
6,hopeful,-0.13664225175111128
6,clinical_depression,0.07175543144614667
6,acute_grief,0.31489207822849563
6,burnout_exhaustion,-0.1541740629552822
6,physical_illness_fatigue,0.31673803555216873
6,anxiety_panic,-0.1487665359901049
6,frustration_blocked_goal,-0.21154515913900002
6,pain_axis,-0.4406653723538973
8,depressed,0.1736830916197155
8,sad,0.04304037930494987
8,gloomy,0.15230624268614973
8,melancholy,0.10479010214008753
8,miserable,0.19976798585648023
8,dispirited,0.1731193683098107
8,listless,0.05020655474909491
8,weary,0.20554703565827429
8,worn out,0.11142442954329584
8,tired,0.10529960933792702
8,resigned,-0.08639003553395032
8,lonely,0.004945981016033439
8,heartbroken,0.09245635959672228
8,grief-stricken,0.049470194954141705
8,worthless,-0.059439708867191784
8,self-critical,-0.025614360909860974
8,ashamed,-0.11984421632852112
8,guilty,-0.1569257480141483
8,humiliated,0.04206239288350567
8,embarrassed,-0.04331606112275573
8,regretful,-0.10473615963141843
8,sorry,-0.2267042316455969
8,desperate,0.17970917308169854
8,panicked,0.13660231210156643
8,hysterical,0.2377510744991448
8,overwhelmed,0.12977873733202366
8,distressed,0.1161902820530692
8,tormented,0.2441918175872461
8,trapped,0.16906005042463734
8,stuck,0.11857709125694171
8,frustrated,0.16291137227409255
8,exasperated,0.10901213291710554
8,angry,0.04018363625129377
8,anxious,0.020144853684711864
8,afraid,0.09785336585063946
8,nervous,-0.07865869359368995
8,stressed,0.02610945719790906
8,calm,-0.371095425429749
8,self-confident,-0.16164595145031455
8,content,-0.2521395095439043
8,happy,-0.19395720172594574
8,hopeful,-0.27517557008123494
8,clinical_depression,-0.025911685076058993
8,acute_grief,0.04130846652285152
8,burnout_exhaustion,-0.08163445538853155
8,physical_illness_fatigue,0.13805486864444735
8,anxiety_panic,-0.013613779039824987
8,frustration_blocked_goal,-0.026416723762333266
8,pain_axis,-0.3807656095505276
10,depressed,0.22645007361380934
10,sad,0.1300127341500508
10,gloomy,0.06581415991030343
10,melancholy,0.14174594478251754
10,miserable,0.11220547615794033
10,dispirited,0.060787556658551664
10,listless,0.079824328921049
10,weary,0.14431843069693234
10,worn out,0.09198696420638497
10,tired,-0.006164449802018566
10,resigned,0.10707900699057835
10,lonely,0.06477745607923707
10,heartbroken,0.24128548480408055
10,grief-stricken,0.23999460736543535
10,worthless,0.11403920945818467
10,self-critical,-0.058028207236585826
10,ashamed,-0.04969679057879325
10,guilty,0.0016826744787350836
10,humiliated,-0.15806105547768268
10,embarrassed,-0.21073676670440095
10,regretful,0.11579178529657726
10,sorry,-0.016233265609066544
10,desperate,0.15405404462059988
10,panicked,-0.016177648210257266
10,hysterical,0.13027340911797616
10,overwhelmed,-0.10217825800405483
10,distressed,0.11155019909474242
10,tormented,0.13574609951042865
10,trapped,0.056086821748717486
10,stuck,0.061294696852949616
10,frustrated,-0.0858613451440315
10,exasperated,-0.09142563842727874
10,angry,-0.04631973060154212
10,anxious,-0.10549803714137869
10,afraid,-0.04648657210447643
10,nervous,-0.13434173574249114
10,stressed,-0.143832399943235
10,calm,-0.1502627279225732
10,self-confident,-0.10380835738974477
10,content,-0.057471338735618854
10,happy,-0.15640190817814123
10,hopeful,-0.11518359157723987
10,clinical_depression,0.14251928966116947
10,acute_grief,0.17957049953023904
10,burnout_exhaustion,-0.14757994333876118
10,physical_illness_fatigue,0.10100127395410831
10,anxiety_panic,-0.12520596749583607
10,frustration_blocked_goal,-0.051402889585357624
10,pain_axis,-0.04411982862352977
12,depressed,0.191410340599645
12,sad,0.10399494751312467
12,gloomy,0.03694665553046386
12,melancholy,0.13886281411766158
12,miserable,0.08168626777254195
12,dispirited,0.04330004346211565
12,listless,0.02719999016482739
12,weary,0.09103499920506965
12,worn out,0.0697395326622635
12,tired,-0.03157308236265203
12,resigned,0.10644160976746421
12,lonely,0.05284428952231916
12,heartbroken,0.24440776431820213
12,grief-stricken,0.238164981437894
12,worthless,0.13771993787024786
12,self-critical,-0.005978173135191564
12,ashamed,-0.0022510826684057498
12,guilty,0.041283136774620144
12,humiliated,-0.1445403260323999
12,embarrassed,-0.21439159448265357
12,regretful,0.1647639788312339
12,sorry,0.061477103244699446
12,desperate,0.07730893300065031
