turn,judge_mean,judge_pct_ge5,z_mean::depressed,z_prep::depressed,z_mean::sad,z_prep::sad,z_mean::frustrated,z_prep::frustrated,z_mean::worthless,z_prep::worthless,z_mean::calm,z_prep::calm,z_mean::happy,z_prep::happy,z_mean::clinical_depression,z_prep::clinical_depression,z_mean::frustration_blocked_goal,z_prep::frustration_blocked_goal,z_mean::pain_axis,z_prep::pain_axis
1,,0.0,-0.4026257,-0.49135548,-0.6852585,-0.6067797,-0.39827105,0.43793172,-0.27243805,-0.5564345,0.9351603,0.65746886,0.19275498,0.06408922,-0.76431084,-1.980304,0.76431096,1.980304,-1.670988e+07,-1.5611053e+07
2,,0.0,-0.44765404,-0.6381921,-0.9046944,-1.7732708,0.14290556,1.8608925,-0.33436316,0.38017252,0.6606137,0.44190496,0.24917151,-0.6056526,-1.7667112,-6.000557,1.7667115,6.0005565,-1.7270076e+07,-1.9052798e+07
3,,0.0,-0.33562428,-0.5853843,-0.89597523,-2.193228,0.364445,3.8827205,-0.31518015,0.76495457,0.5048913,-0.4696548,0.1460706,-1.2224838,-2.0925121,-7.492872,2.0925124,7.4928713,-1.7534644e+07,-1.8797856e+07
4,,0.0,-0.2536496,0.26604116,-0.87641954,-1.4603533,0.49065858,4.556395,-0.34273893,1.2672648,0.40101275,-1.2916136,0.10464841,-2.1850402,-2.2579165,-7.0215464,2.2579165,7.021546,-1.7625972e+07,-1.7650762e+07
5,,0.0,-0.21431927,0.6812564,-0.79188955,-1.0267774,0.41520876,4.455493,-0.29426986,1.1992028,0.3595476,-1.5193102,0.097018495,-2.36688,-2.0636253,-6.513935,2.0636253,6.513935,-1.7330832e+07,-1.796948e+07
6,,0.0,-0.12083799,1.0929987,-0.78607035,-0.8412483,0.47432122,4.5543685,-0.29850632,0.841086,0.35575706,-1.386182,-0.0058431067,-2.7219787,-2.1308947,-6.173935,2.1308947,6.173935,-1.7521544e+07,-1.9873608e+07
7,,0.0,-0.029258408,1.4870911,-0.79056567,-0.34809226,0.6614919,4.2148714,-0.11906929,1.2230449,0.23027876,-1.4653001,-0.18865007,-3.1612573,-2.3092072,-5.4855413,2.309207,5.4855404,-1.8284498e+07,-1.8167772e+07
8,,0.0,-0.009898259,1.6036265,-0.65913904,-0.46426693,0.52678883,4.2100167,-0.06128801,1.496562,0.20077112,-1.5950456,-0.18119153,-3.2256918,-1.9763678,-5.434483,1.976368,5.434483,-1.7424674e+07,-1.7018724e+07
