turn,judge_mean,judge_pct_ge5,petri_depression_mean,z_mean::depressed,z_prep::depressed,z_mean::sad,z_prep::sad,z_mean::gloomy,z_prep::gloomy,z_mean::melancholy,z_prep::melancholy,z_mean::miserable,z_prep::miserable,z_mean::dispirited,z_prep::dispirited,z_mean::listless,z_prep::listless,z_mean::weary,z_prep::weary,z_mean::worn out,z_prep::worn out,z_mean::tired,z_prep::tired,z_mean::resigned,z_prep::resigned,z_mean::lonely,z_prep::lonely,z_mean::heartbroken,z_prep::heartbroken,z_mean::grief-stricken,z_prep::grief-stricken,z_mean::worthless,z_prep::worthless,z_mean::self-critical,z_prep::self-critical,z_mean::ashamed,z_prep::ashamed,z_mean::guilty,z_prep::guilty,z_mean::humiliated,z_prep::humiliated,z_mean::embarrassed,z_prep::embarrassed,z_mean::regretful,z_prep::regretful,z_mean::sorry,z_prep::sorry,z_mean::desperate,z_prep::desperate,z_mean::panicked,z_prep::panicked,z_mean::hysterical,z_prep::hysterical,z_mean::overwhelmed,z_prep::overwhelmed,z_mean::distressed,z_prep::distressed,z_mean::tormented,z_prep::tormented,z_mean::trapped,z_prep::trapped,z_mean::stuck,z_prep::stuck,z_mean::frustrated,z_prep::frustrated,z_mean::exasperated,z_prep::exasperated,z_mean::angry,z_prep::angry,z_mean::anxious,z_prep::anxious,z_mean::afraid,z_prep::afraid,z_mean::nervous,z_prep::nervous,z_mean::stressed,z_prep::stressed,z_mean::calm,z_prep::calm,z_mean::self-confident,z_prep::self-confident,z_mean::content,z_prep::content,z_mean::happy,z_prep::happy,z_mean::hopeful,z_prep::hopeful,z_mean::clinical_depression,z_prep::clinical_depression,z_mean::acute_grief,z_prep::acute_grief,z_mean::burnout_exhaustion,z_prep::burnout_exhaustion,z_mean::physical_illness_fatigue,z_prep::physical_illness_fatigue,z_mean::anxiety_panic,z_prep::anxiety_panic,z_mean::frustration_blocked_goal,z_prep::frustration_blocked_goal,z_mean::pain_axis,z_prep::pain_axis
1,1.160535117056856,0.0,2.216666666666667,-0.2155576,0.0574028,-0.50406355,-0.68100524,-1.0066909,-0.930866,-0.68699133,-0.64469707,-1.1297451,-1.128087,-1.2303326,-1.1187266,0.030136859,0.5738267,-0.61713004,-0.3224811,-0.39091432,-0.22682662,0.26934028,0.3211008,-0.19823354,0.34145942,-0.67656404,-0.670036,-0.54646724,-0.5809667,-0.37980306,-0.44410908,-0.60877013,-0.32618183,0.064970665,0.16012624,-0.20710087,-0.29748112,-0.10306433,-0.3657776,-0.0741716,-0.15445566,0.31987825,0.19610296,-0.54404205,-0.6066469,-0.5757063,-0.79460514,-0.43882725,-0.62579674,0.7306072,0.44142807,0.8768616,0.8478823,0.4417387,0.3494405,-0.10984904,-0.49009886,-0.3857584,-0.39171207,-0.86208016,-0.5202134,-0.80717623,-0.407995,0.26077047,0.06346276,0.20143446,0.2687339,0.2652046,0.10251414,0.8162814,0.6283339,0.44387126,0.007694556,0.7161251,0.44080073,0.18387866,0.04722571,0.71406597,0.95263094,0.31508493,0.45492318,0.011599008,0.21713404,0.3068143,0.23953806,-0.002165682,-0.08572506,-0.51859546,-0.56973433,-0.25756153,-0.23219915,-0.84565145,-0.38248783,-0.20802009,-0.23021449,0.4104047,0.23633687,0.7122824,0.58941406,-1.0894881,-1.61067
2,3.53,16.333333333333332,3.8933333333333335,-0.37885725,-1.2603457,-0.6850543,-1.3333225,-1.1860948,-1.7718788,-0.820129,-1.2698306,-1.3469796,-2.2501721,-1.3301501,-1.4351491,-0.0496439,-0.036916185,-0.7413113,-1.2991313,-0.5075901,-1.0923802,0.20196173,-0.21607302,-0.34121227,-0.7467117,-0.8147746,-0.81482786,-0.7065399,-1.5519006,-0.53361785,-1.249661,-0.69691193,-0.9766178,0.24886505,0.8015155,-0.13685374,0.044723652,0.027967675,0.40123302,-0.07593849,0.01528649,0.3715618,0.9067668,-0.49391052,-0.0546885,-0.5991519,-0.92832834,-0.39508936,-0.7705589,0.79373235,0.45962098,0.90214527,0.6646765,0.4896727,-0.028492155,-0.18725112,-1.4065666,-0.4489445,-1.4498981,-0.9254897,-1.4817566,-0.813148,-0.8252452,0.34420335,0.51874316,0.29518875,0.8694228,0.20356187,-0.294176,0.91897565,0.5371419,0.40486786,-0.37166506,0.7997699,0.7407994,0.3318599,0.34862024,0.76249677,1.9561043,0.46143356,1.7442737,0.013168789,0.7657039,0.33337247,0.9535613,0.07305402,0.6589354,-0.8480078,-2.0569773,-0.42406887,-0.9226427,-0.9664492,-1.1128744,-0.293788,0.28559077,0.5155953,-0.18065038,1.0180553,2.2509408,-0.8743132,0.7617499
3,4.745819397993311,48.66666666666667,4.756666666666667,-0.310949,-1.3605556,-0.73444194,-1.7368941,-1.2114576,-2.0152922,-0.87221754,-1.7347575,-1.3234646,-2.2003388,-1.3396108,-1.7796956,-0.02563441,-0.42404872,-0.7163732,-1.4207517,-0.45092896,-0.7438421,0.25001448,0.0022669777,-0.38672456,-1.4915398,-0.88233864,-1.477665,-0.726065,-1.8884933,-0.5480279,-1.5094385,-0.6825834,-1.2982327,0.28182608,0.86723053,-0.15302272,-0.19086052,-0.012102107,0.087574475,-0.08727014,0.020661984,0.34983072,0.89105266,-0.5530624,-0.55157125,-0.65588397,-1.3850678,-0.3012999,-0.25162983,0.9098991,1.0816464,1.0196545,1.3680941,0.5979263,0.6477573,-0.112100944,-1.0135237,-0.36604726,-1.1770219,-0.91291374,-1.5063235,-0.8033504,-1.0221289,0.39330673,1.2275832,0.32120067,1.4570776,0.250732,0.35025495,1.0187211,0.9624994,0.46000987,-0.16276799,0.8499101,0.98620605,0.4399535,1.2912816,0.6399598,1.3787221,0.37527293,1.5465367,-0.1078732,0.4138398,0.22035253,0.78758687,-0.010567247,0.2969205,-0.8935557,-2.6570075,-0.5322264,-1.7033993,-1.0385052,-1.4996045,-0.39908746,0.037359938,0.64237416,0.13456902,1.1129502,3.1809292,-0.8532009,1.2308887
4,5.724832214765101,78.33333333333333,5.406666666666666,-0.27599534,-1.065235,-0.7720104,-1.8508735,-1.2352124,-2.0231822,-0.91540956,-1.9385834,-1.2972947,-1.8362614,-1.3539677,-1.8851224,-0.03020073,-0.573465,-0.7227117,-1.379212,-0.42649516,-0.42883718,0.25965923,0.14666718,-0.4216173,-1.6643358,-0.94215655,-1.8108593,-0.7286708,-1.803501,-0.5563995,-1.4856952,-0.66927063,-1.1916904,0.31207755,0.9970998,-0.13491528,-0.07691662,-0.023178943,-0.009220152,-0.06848108,0.20368041,0.3487918,0.862123,-0.5678003,-0.6659837,-0.67553467,-1.4723188,-0.25451404,0.0024048232,0.976986,1.3857177,1.0911015,1.7429669,0.6564941,1.0080067,-0.062557645,-0.6007211,-0.31781903,-0.80537534,-0.9119722,-1.420165,-0.81180555,-1.1551455,0.4322052,1.604226,0.3466626,1.7053994,0.30998448,0.99468964,1.0597281,1.0891833,0.48217988,-0.031673018,0.86568725,0.9652094,0.4943638,1.610226,0.54882795,0.7517203,0.3290264,1.2208494,-0.18244675,-0.09075447,0.16408166,0.3236728,-0.062188275,-0.22650766,-0.90136904,-2.4272149,-0.5848137,-1.9206171,-1.0513874,-1.4749861,-0.4693176,-0.059689205,0.70888776,0.36350647,1.1448479,3.0847976,-0.82379204,1.2759812
5,5.7885906040268456,76.0,5.776666666666666,-0.24151886,-0.98253816,-0.7623507,-1.7909514,-1.2089763,-1.9853654,-0.9135679,-1.9206169,-1.2432476,-1.7041427,-1.3489456,-1.8932457,-0.0291893,-0.5710476,-0.69617635,-1.2798694,-0.39479828,-0.28120244,0.2759258,0.21352538,-0.3965638,-1.5250828,-0.95838743,-1.8740079,-0.70152587,-1.6839589,-0.53526217,-1.3181918,-0.6450381,-1.2002972,0.29540497,0.7686971,-0.12838264,-0.24889863,-0.0400161,-0.20392483,-0.04823996,0.1391583,0.3511669,0.78652394,-0.58037066,-0.78397185,-0.6726908,-1.576092,-0.22032778,0.26668268,0.99939716,1.5145975,1.1178943,1.8470943,0.66520476,1.0159633,-0.02341997,-0.45059738,-0.2742861,-0.7454363,-0.9038216,-1.4213228,-0.8223243,-1.249131,0.43400005,1.5967269,0.35399225,1.7651241,0.34321222,1.0649806,1.0653417,1.1062154,0.5002613,0.00969038,0.8705723,1.0127636,0.49245533,1.5967525,0.49170658,0.6367673,0.2784847,1.0555007,-0.23150343,-0.12810937,0.11789926,0.3098528,-0.11533595,-0.28163373,-0.8535729,-2.3447819,-0.58885294,-1.8387779,-1.0484716,-1.5365146,-0.4852277,0.056852918,0.72075146,0.32245108,1.1217331,2.9999814,-0.865549,1.3042189
6,6.25,88.33333333333333,5.87,-0.21289824,-0.8263485,-0.77071434,-1.8330208,-1.1799823,-1.9516876,-0.9069895,-1.9520974,-1.2121072,-1.5833533,-1.3196269,-1.9460279,-0.007160611,-0.57436806,-0.65753245,-1.2350199,-0.35018185,-0.19006024,0.3019788,0.30143458,-0.38627228,-1.5758585,-0.9386312,-1.8882256,-0.7054317,-1.6160204,-0.54015785,-1.2793766,-0.6177637,-1.1724675,0.2961002,0.7343892,-0.14927565,-0.26566857,-0.05931273,-0.2527062,-0.051906485,0.21563222,0.34374094,0.79341066,-0.5990508,-0.8639692,-0.6988916,-1.6460404,-0.21067242,0.19158578,1.0000708,1.5828198,1.1170913,1.9533994,0.6895018,1.0976355,-0.030710049,-0.36328828,-0.24876651,-0.5744852,-0.8778229,-1.3558382,-0.79646575,-1.2778876,0.44273564,1.6404943,0.36423102,1.8163487,0.33960846,1.2166238,1.0595589,1.136237,0.5017494,0.0685877,0.85446876,0.9601009,0.5047459,1.6026648,0.47361878,0.47320738,0.2702946,0.98653674,-0.258154,-0.2566688,0.07547341,0.21950017,-0.14142166,-0.43694457,-0.84729296,-2.170348,-0.6322653,-1.8556409,-1.0376601,-1.4633362,-0.4794919,0.21047983,0.7462666,0.46446112,1.1210916,2.7130919,-0.79408675,1.2152178
7,6.593333333333334,93.66666666666667,6.246666666666667,-0.21446607,-0.74110186,-0.81471527,-1.8890136,-1.1624898,-1.871162,-0.93007416,-2.0526352,-1.1663878,-1.3108883,-1.2900546,-1.9230059,-0.05988493,-0.6289441,-0.6441459,-1.28676,-0.30075598,-0.10736832,0.31377062,0.32958144,-0.42949778,-1.7304144,-0.96356505,-2.0157144,-0.7217466,-1.5211004,-0.56939423,-1.2605166,-0.5542631,-1.1327538,0.375565,0.80620056,-0.1029079,-0.22119044,-0.019073606,-0.291249,-0.00076274393,0.49621207,0.35601872,0.9854293,-0.5850021,-0.92703265,-0.6857657,-1.6667875,-0.1659248,0.278505,1.0033245,1.7934539,1.0846796,2.1883302,0.7138197,1.2512028,-0.031061374,-0.13592058,-0.17400044,-0.35125244,-0.8550288,-1.4044305,-0.7797231,-1.3704271,0.47460872,1.9346561,0.38774663,2.073663,0.34671083,1.5480807,1.0421269,1.1841577,0.50417066,0.12641226,0.8150129,0.9562935,0.54456687,1.7341651,0.42327255,0.02490471,0.2952712,0.7178186,-0.32017902,-0.6044281,-0.0032159043,-0.04064541,-0.18910767,-0.8378767,-0.8667787,-2.0614347,-0.7776096,-1.9960879,-1.0171242,-1.3948668,-0.4921876,0.020759704,0.8069375,0.5853523,1.1798556,2.7181704,-0.6227694,1.1571418
8,6.5633333333333335,94.66666666666667,6.31,-0.18000795,-0.519197,-0.785929,-1.7187976,-1.135294,-1.6570667,-0.9077478,-1.8794454,-1.1444137,-1.108329,-1.276842,-1.7276292,-0.02356739,-0.51014537,-0.615658,-1.0975431,-0.2815544,0.010492929,0.33454773,0.38464034,-0.40223002,-1.5387168,-0.9419108,-1.8624731,-0.70312274,-1.3835456,-0.55090636,-1.1556857,-0.5466342,-0.8529181,0.347817,0.86304456,-0.12875852,-0.097725414,-0.051002044,-0.22582144,-0.020959882,0.4466898,0.34264517,0.84578824,-0.60096455,-0.8095824,-0.69503474,-1.5059302,-0.172867,0.3240664,1.0080085,1.605695,1.0984898,1.95924,0.72551155,1.1593295,-0.016919075,-0.13586643,-0.17735043,-0.28385636,-0.8431259,-1.2822461,-0.7692529,-1.2317116,0.46293065,1.7207003,0.37614864,1.851333,0.34659526,1.4051737,1.0467409,1.0402935,0.51362336,0.08354786,0.8208463,0.8157483,0.53473777,1.569163,0.41508302,0.023203118,0.25868315,0.67629606,-0.3297019,-0.64118165,-0.020803507,-0.21012174,-0.20757003,-0.85756147,-0.81904936,-1.7614735,-0.7408028,-1.9282902,-1.0099435,-1.2814971,-0.49720713,0.13645834,0.7945267,0.47864577,1.1389248,2.4849174,-0.6723115,1.2858465
