turn,judge_mean,judge_pct_ge5,petri_depression_mean,z_mean::depressed,z_prep::depressed,z_mean::sad,z_prep::sad,z_mean::gloomy,z_prep::gloomy,z_mean::melancholy,z_prep::melancholy,z_mean::miserable,z_prep::miserable,z_mean::dispirited,z_prep::dispirited,z_mean::listless,z_prep::listless,z_mean::weary,z_prep::weary,z_mean::worn out,z_prep::worn out,z_mean::tired,z_prep::tired,z_mean::resigned,z_prep::resigned,z_mean::lonely,z_prep::lonely,z_mean::heartbroken,z_prep::heartbroken,z_mean::grief-stricken,z_prep::grief-stricken,z_mean::worthless,z_prep::worthless,z_mean::self-critical,z_prep::self-critical,z_mean::ashamed,z_prep::ashamed,z_mean::guilty,z_prep::guilty,z_mean::humiliated,z_prep::humiliated,z_mean::embarrassed,z_prep::embarrassed,z_mean::regretful,z_prep::regretful,z_mean::sorry,z_prep::sorry,z_mean::desperate,z_prep::desperate,z_mean::panicked,z_prep::panicked,z_mean::hysterical,z_prep::hysterical,z_mean::overwhelmed,z_prep::overwhelmed,z_mean::distressed,z_prep::distressed,z_mean::tormented,z_prep::tormented,z_mean::trapped,z_prep::trapped,z_mean::stuck,z_prep::stuck,z_mean::frustrated,z_prep::frustrated,z_mean::exasperated,z_prep::exasperated,z_mean::angry,z_prep::angry,z_mean::anxious,z_prep::anxious,z_mean::afraid,z_prep::afraid,z_mean::nervous,z_prep::nervous,z_mean::stressed,z_prep::stressed,z_mean::calm,z_prep::calm,z_mean::self-confident,z_prep::self-confident,z_mean::content,z_prep::content,z_mean::happy,z_prep::happy,z_mean::hopeful,z_prep::hopeful,z_mean::clinical_depression,z_prep::clinical_depression,z_mean::acute_grief,z_prep::acute_grief,z_mean::burnout_exhaustion,z_prep::burnout_exhaustion,z_mean::physical_illness_fatigue,z_prep::physical_illness_fatigue,z_mean::anxiety_panic,z_prep::anxiety_panic,z_mean::frustration_blocked_goal,z_prep::frustration_blocked_goal
1,1.160535117056856,0.0,2.216666666666667,-1.9376194,-3.08754,-0.98849905,-0.6231899,-1.6598514,-3.0326073,-1.8151124,-2.518796,-1.4277248,-2.9389431,-1.1538827,-3.0740604,-0.9730595,-2.272495,-0.10525907,-1.0858644,-0.28241557,-1.7572815,0.9627122,0.9190029,-2.140102,-1.9705024,-2.085223,-3.078095,-1.8530766,-1.5035326,-2.0642924,-1.542169,-2.0891201,-3.9805245,-1.9685833,-2.623752,0.4114268,-0.2220505,-0.52978325,-0.27901554,-1.4302702,-2.4614835,-0.56037676,-1.357453,-1.9452636,-1.7164512,-1.1712339,-1.3804767,1.4002353,2.8375347,3.0317872,4.277793,2.1474378,2.106398,2.185537,2.8705685,2.1186612,3.0856493,1.095544,2.0881035,-0.0065033087,1.4579014,-2.1625757,-2.6086397,1.2944804,1.438209,0.30431423,-0.17058946,1.1454176,0.8981264,3.2350216,4.6209297,2.1255522,3.5425093,3.8321533,4.683498,3.2961059,3.4433324,0.33669025,1.4461098,-0.64903486,-0.63839245,0.038658593,0.1360985,-0.18528031,-0.4338536,-1.6762707,-0.7792467,-0.56137156,-1.5538701,-1.7148281,-2.2569342,-1.6155229,-2.9856868,-1.2302451,-3.0416706,0.9780001,1.9866073,2.456082,4.6214085
2,3.53,16.333333333333332,3.8933333333333335,-2.2494125,-4.743961,-1.3750602,-2.1599436,-2.2883124,-4.8744907,-2.420734,-4.6175327,-1.8746853,-5.2280493,-1.6849934,-4.9035954,-1.6068605,-4.1476274,-0.43189973,-3.1028006,-0.48929143,-3.5101588,0.8356402,0.27463338,-2.5856788,-4.737084,-2.3895154,-4.303091,-1.8731352,-2.8552213,-2.222681,-2.8525913,-2.1654637,-3.6931229,-1.5019871,0.59956646,0.6543096,1.7110913,-0.02682074,1.3451462,-1.0965447,0.34103322,-0.21953094,2.1754267,-1.5263928,-0.45396984,-0.7178012,2.1060743,1.9062406,4.1998286,3.3501441,5.7725897,2.3294241,2.9718897,2.4442465,3.5917435,2.3010507,3.6005802,1.3467091,2.0145578,0.103716925,0.6571596,-2.3263695,-2.8096724,1.656047,3.6302335,0.80006593,1.7939107,1.0015401,1.5482486,3.5858016,5.237731,2.3450673,3.5018888,3.9952872,5.2718368,3.636862,4.4650173,-0.22348742,-1.2478898,-0.90800536,-1.200398,-0.50044584,-3.1211126,-0.29379818,-1.5566344,-1.6482072,-0.8169124,-0.70108795,-2.13158,-1.9696912,-3.0323706,-1.8253413,-4.0665455,-1.426976,-3.8677213,0.9382191,0.1851937,2.9836738,8.001479
3,4.745819397993311,48.66666666666667,4.756666666666667,-2.249731,-4.549434,-1.5036354,-2.735935,-2.4120924,-5.0378947,-2.59547,-5.5132194,-1.8733379,-4.91593,-1.7473177,-4.909398,-1.7090713,-4.2795157,-0.45141938,-2.8694494,-0.5150301,-3.0280836,0.82293016,0.42573097,-2.7541428,-5.409441,-2.548052,-4.889636,-1.7781392,-2.5711238,-2.1742444,-2.7112885,-2.0990853,-2.9863188,-1.3771452,1.1529222,0.5978784,1.7999711,-0.011229362,1.2381873,-1.0988318,0.57770234,-0.30097416,1.7169552,-1.5526203,-0.87847495,-0.69164956,2.175715,2.259792,5.961508,3.5473795,6.4413486,2.6139832,3.9755323,2.6022494,4.098737,2.456619,3.8080354,1.6565458,2.989746,0.09800957,0.5522486,-2.3052006,-2.512647,1.7738175,4.286204,0.96124643,2.8653984,1.0039512,1.8175766,3.7487257,5.524257,2.4503617,3.3387952,4.058808,5.3250966,3.8104281,5.2905607,-0.5135258,-2.7442496,-1.1677936,-2.0233505,-0.7979785,-4.5573483,-0.4426501,-2.3155286,-1.7576493,-1.4407263,-0.6723474,-2.5342712,-2.1633143,-4.1002254,-2.0005448,-4.865104,-1.5982094,-3.8545442,1.0495245,0.3461816,3.2151663,9.312109
4,5.724832214765101,78.33333333333333,5.406666666666666,-2.2698693,-4.439254,-1.5776469,-2.8270392,-2.4995964,-5.0217743,-2.7178667,-5.606065,-1.8543842,-4.6475058,-1.7678975,-4.709036,-1.7753812,-4.1605296,-0.43416148,-2.416929,-0.5057899,-2.6171174,0.79614556,0.39616004,-2.7801106,-5.3057218,-2.6710553,-5.0057707,-1.7376631,-2.561663,-2.170922,-2.7508404,-2.0640783,-2.8199902,-1.2785046,1.1996497,0.59973407,1.8409867,0.022655638,1.2219853,-1.0814643,0.76054806,-0.33841938,1.4016589,-1.5076861,-0.56728727,-0.6353078,2.1623847,2.3922112,6.026817,3.5973556,6.2238116,2.7469633,4.007037,2.6296701,4.0364423,2.4970686,3.5618322,1.8122284,3.225606,0.016878726,0.15621933,-2.3226793,-2.337331,1.8935852,4.496478,1.1142623,3.3731697,1.0693161,2.3485432,3.7613099,5.254163,2.4677637,3.3065345,4.0133486,4.9574084,3.8489802,5.2945013,-0.63970256,-3.1639872,-1.2611953,-2.0709403,-0.93490785,-4.8762507,-0.50957805,-2.5003557,-1.8128141,-1.5332829,-0.63705117,-2.535613,-2.2577589,-4.5637527,-1.9998624,-4.7618613,-1.7459005,-3.9377816,1.078492,0.6248113,3.3139784,9.370117
5,5.7885906040268456,76.0,5.776666666666666,-2.183754,-3.918475,-1.549034,-2.686577,-2.461447,-4.996833,-2.6783717,-5.537825,-1.7644637,-4.316192,-1.6921483,-4.137619,-1.752026,-4.1532617,-0.38295776,-2.195266,-0.48947865,-2.3058076,0.7873943,0.4852471,-2.723399,-5.2023425,-2.61666,-4.7437215,-1.6189163,-1.8276566,-2.0985565,-2.2200806,-1.934283,-1.8974121,-1.2712088,1.5545902,0.56137234,2.1632545,-0.007005283,1.526051,-1.0932794,0.9156258,-0.41620073,1.3237382,-1.5458724,-0.35222524,-0.6380093,2.7304866,2.452439,6.4575224,3.5830102,5.9483767,2.8293138,3.907312,2.6144319,3.9705637,2.4676147,3.3536189,1.92382,3.2995553,0.07165908,0.37691224,-2.259227,-1.9834598,1.8257588,3.7692254,1.128111,3.039222,1.0391428,1.7243079,3.6958985,4.9683633,2.4458625,3.1019049,3.943538,4.903752,3.7904973,5.0290976,-0.7398046,-3.685809,-1.3585677,-2.7880094,-0.99904805,-5.283447,-0.5331235,-2.6794286,-1.8623848,-1.7743795,-0.5441428,-1.6742663,-2.2779763,-4.54854,-1.9563745,-4.5355554,-1.834552,-3.9424584,1.059348,0.20151113,3.3038406,8.977932
6,6.25,88.33333333333333,5.87,-2.0964627,-3.5201945,-1.5520204,-2.8572679,-2.4065595,-4.9267282,-2.6580071,-5.8840613,-1.6959819,-3.875677,-1.6430024,-3.9565008,-1.7042009,-3.9059553,-0.34888256,-1.9280928,-0.45814586,-2.039129,0.7835271,0.4932845,-2.754441,-5.3572907,-2.6559649,-4.886035,-1.5676408,-1.5760113,-2.0678,-2.0013165,-1.9080851,-1.7323458,-1.223431,1.3902842,0.4690533,2.0809805,-0.051277127,1.5447162,-1.1028088,0.8987935,-0.45793748,1.0653442,-1.5934027,-0.7229782,-0.67950106,2.5553968,2.5445106,6.921601,3.6130462,6.159632,2.916094,4.520043,2.630621,4.3206997,2.5030746,3.5772798,2.0163724,3.9477727,0.026477223,0.40790942,-2.246381,-1.8003203,1.8195962,4.0033555,1.1389968,3.416284,1.0214846,1.825546,3.6924536,4.826544,2.4661798,3.1197753,3.8803515,4.5480795,3.7856555,5.165121,-0.8096519,-4.393292,-1.4139047,-3.1443791,-1.0672979,-5.8598504,-0.55864614,-2.8578105,-1.8741784,-2.1482882,-0.47503814,-1.4462513,-2.3754976,-4.878112,-1.978955,-4.6397233,-1.8600092,-4.0710545,1.1390266,0.23004796,3.289428,9.155462
7,6.593333333333334,93.66666666666667,6.246666666666667,-1.9872636,-3.604524,-1.6247901,-3.2656112,-2.4299934,-5.409199,-2.7147527,-6.0129356,-1.6780378,-4.1190534,-1.6008043,-4.18918,-1.7056313,-4.335584,-0.2506396,-2.619667,-0.3517186,-2.6489034,0.8782029,-0.16033572,-2.8239908,-5.3955793,-2.8010025,-4.6392236,-1.525314,-1.6676868,-2.1074295,-2.1628838,-1.8432583,-1.2708609,-0.9806134,2.1652634,0.4754956,2.8713841,-0.013654993,2.3770623,-0.9786267,1.53318,-0.38887155,1.6208732,-1.571788,0.055375587,-0.5677515,3.211307,2.5913453,6.635862,3.6674683,5.9756584,2.9082508,4.5314083,2.6890347,4.1506295,2.5236864,3.4431198,2.1331575,4.038422,-0.024250004,0.09913272,-2.1976075,-1.9643803,1.7390755,4.1622095,1.126682,3.7038581,0.80588645,1.944339,3.7257934,4.8776608,2.3988388,2.8794105,3.8490202,4.563861,3.8392704,5.1342897,-0.918998,-4.786933,-1.4531224,-3.2175965,-1.2081331,-6.1455016,-0.62169486,-3.0710838,-1.9435457,-2.472684,-0.20686732,-1.1079193,-2.6102066,-4.8015084,-1.8754874,-4.42819,-1.9560204,-4.140891,1.1467892,0.13051856,3.2433124,8.867118
8,6.5633333333333335,94.66666666666667,6.31,-1.9817228,-3.4877388,-1.5945038,-3.1362765,-2.3829908,-5.2362213,-2.6865442,-6.184895,-1.6373395,-3.714753,-1.5681859,-3.9190085,-1.6886463,-4.286964,-0.27998695,-2.3965058,-0.39632455,-2.3584375,0.83407027,-0.04311086,-2.7790642,-5.523249,-2.7832074,-4.8348193,-1.5083877,-1.4826382,-2.074913,-1.9883794,-1.8459141,-1.2104405,-1.0777106,1.9021777,0.44731426,2.8901095,-0.05530218,2.19915,-1.033099,1.4414064,-0.44025975,1.3183132,-1.6102756,-0.15819459,-0.6231429,3.1525187,2.5980513,7.0035043,3.6629565,6.0209284,2.950695,4.699544,2.6670718,4.2315884,2.533706,3.5363452,2.14734,4.3065577,-0.052716702,0.1129272,-2.2319226,-1.8982149,1.7669356,4.325933,1.1349165,3.7721565,0.9222304,2.3639915,3.695806,4.63175,2.443181,3.0657613,3.8403883,4.380031,3.80653,5.157249,-0.88632995,-5.079645,-1.446721,-3.3904924,-1.1921619,-6.4575286,-0.6408391,-3.22114,-1.9389573,-2.555612,-0.24255249,-1.1617477,-2.581663,-5.136054,-1.8928441,-4.3820553,-1.9674797,-4.12946,1.1795527,0.064253256,3.2422554,9.119777
