turn,judge_mean,judge_pct_ge5,petri_depression_mean,z_mean::depressed,z_prep::depressed,z_mean::sad,z_prep::sad,z_mean::gloomy,z_prep::gloomy,z_mean::melancholy,z_prep::melancholy,z_mean::miserable,z_prep::miserable,z_mean::dispirited,z_prep::dispirited,z_mean::listless,z_prep::listless,z_mean::weary,z_prep::weary,z_mean::worn out,z_prep::worn out,z_mean::tired,z_prep::tired,z_mean::resigned,z_prep::resigned,z_mean::lonely,z_prep::lonely,z_mean::heartbroken,z_prep::heartbroken,z_mean::grief-stricken,z_prep::grief-stricken,z_mean::worthless,z_prep::worthless,z_mean::self-critical,z_prep::self-critical,z_mean::ashamed,z_prep::ashamed,z_mean::guilty,z_prep::guilty,z_mean::humiliated,z_prep::humiliated,z_mean::embarrassed,z_prep::embarrassed,z_mean::regretful,z_prep::regretful,z_mean::sorry,z_prep::sorry,z_mean::desperate,z_prep::desperate,z_mean::panicked,z_prep::panicked,z_mean::hysterical,z_prep::hysterical,z_mean::overwhelmed,z_prep::overwhelmed,z_mean::distressed,z_prep::distressed,z_mean::tormented,z_prep::tormented,z_mean::trapped,z_prep::trapped,z_mean::stuck,z_prep::stuck,z_mean::frustrated,z_prep::frustrated,z_mean::exasperated,z_prep::exasperated,z_mean::angry,z_prep::angry,z_mean::anxious,z_prep::anxious,z_mean::afraid,z_prep::afraid,z_mean::nervous,z_prep::nervous,z_mean::stressed,z_prep::stressed,z_mean::calm,z_prep::calm,z_mean::self-confident,z_prep::self-confident,z_mean::content,z_prep::content,z_mean::happy,z_prep::happy,z_mean::hopeful,z_prep::hopeful,z_mean::clinical_depression,z_prep::clinical_depression,z_mean::acute_grief,z_prep::acute_grief,z_mean::burnout_exhaustion,z_prep::burnout_exhaustion,z_mean::physical_illness_fatigue,z_prep::physical_illness_fatigue,z_mean::anxiety_panic,z_prep::anxiety_panic,z_mean::frustration_blocked_goal,z_prep::frustration_blocked_goal
1,0.09364548494983277,0.0,1.7692307692307692,-1.9169263,-3.0875404,-1.0088466,-0.6231894,-1.6206881,-3.032609,-1.8301268,-2.5187972,-1.3139318,-2.9389434,-1.1846339,-3.07406,-0.978473,-2.2724943,-0.31117222,-1.0858643,-0.62523216,-1.7572821,0.872617,0.9190029,-2.3473458,-1.9705025,-1.9044849,-3.078094,-1.7416149,-1.5035331,-1.7980798,-1.5421695,-1.895804,-3.9805257,-2.1253917,-2.6237524,0.41664636,-0.22205089,-0.4882781,-0.2790141,-1.7599493,-2.4614835,-0.92877144,-1.3574526,-1.9193063,-1.716451,-1.2916484,-1.3804756,1.7062125,2.837535,3.121644,4.2777934,2.4272132,2.1063988,2.3709874,2.8705685,2.1974037,3.0856495,1.4476705,2.088103,0.5208263,1.4579015,-1.7151058,-2.6086397,1.335093,1.4382102,0.25927952,-0.1705898,1.2312872,0.89812654,3.3344996,4.620931,2.0994916,3.5425098,3.937649,4.6834965,3.3808362,3.4433324,0.021415792,1.4461098,-0.86936104,-0.6383926,-0.13852549,0.13609813,-0.4054041,-0.43385446,-1.8196892,-0.7792469,-0.53888035,-1.5538701,-1.6467719,-2.2569337,-1.8252189,-2.9856865,-1.2625198,-3.041671,0.79741305,1.9866074,2.6909502,4.621408
2,0.13,0.0,1.84,-1.9759631,-4.0190163,-0.97871727,-1.6012659,-1.6085438,-4.154206,-1.9000537,-3.7730453,-1.256808,-4.4038844,-1.2636148,-4.190164,-1.1502575,-3.3549476,-0.37734106,-2.3278167,-0.69915414,-2.9397378,0.8162367,0.72013444,-2.4368625,-4.0123553,-1.9447978,-3.9867907,-1.6414746,-2.4608357,-1.8105981,-2.3728597,-1.9158219,-3.9706178,-2.2036471,-0.6746633,0.45586935,0.76326597,-0.40953714,0.65525013,-1.6969122,-0.561366,-0.8851406,1.035533,-1.8720282,-1.2392285,-1.2454332,0.75108457,1.7457963,3.9718099,3.1626608,5.8991017,2.5246282,2.7207036,2.3683586,3.672034,2.2803957,3.7785351,1.6270902,2.147853,0.6024881,1.3818668,-1.7355292,-2.4852703,1.4282848,3.3703449,0.3611826,1.5940218,1.2870289,1.4921063,3.341709,5.559899,2.188783,3.8698657,3.9352849,5.534015,3.3983717,4.5500913,-0.12968546,-0.836038,-0.9935268,-1.624767,-0.2588193,-2.807346,-0.41162634,-1.6982687,-1.8257418,-1.2550323,-0.5431673,-1.3972756,-1.69517,-3.3593843,-1.7316874,-3.7533967,-1.343724,-3.7399154,0.7325327,0.97913027,2.7575488,6.8584538
3,0.21333333333333335,0.0,1.8389261744966443,-2.00338,-3.5257413,-0.9494163,-1.7786626,-1.6239107,-4.1217384,-1.9324573,-4.1011305,-1.2267082,-4.085502,-1.3044906,-3.8191967,-1.2159005,-3.005612,-0.36788836,-1.6524488,-0.7089922,-2.291306,0.8209047,1.1366197,-2.4524162,-3.863431,-1.9736121,-4.233104,-1.5861824,-2.4388964,-1.823269,-2.346991,-1.9290735,-3.3011096,-2.2246041,-0.51125187,0.4716506,0.58994764,-0.38420856,0.5160986,-1.676713,-0.7448723,-0.88060975,0.4801211,-1.8756466,-1.5446242,-1.233576,0.73941416,1.7805367,5.158174,3.2010894,6.112312,2.5756273,3.2657778,2.3949773,3.8885906,2.3344078,3.68497,1.7276001,2.5384002,0.6351864,1.7736739,-1.7380892,-1.8761115,1.4584203,3.5010693,0.41546103,2.2506976,1.278506,1.2290279,3.3716104,5.6156907,2.2464185,3.6624153,3.9558024,5.498205,3.409187,4.8766646,-0.17938653,-1.6795617,-1.0914513,-2.4272926,-0.32296768,-3.6416366,-0.44571018,-2.3959048,-1.8733517,-1.7384784,-0.5388594,-1.233471,-1.7354578,-4.159905,-1.7241223,-4.467354,-1.4189655,-3.8383415,0.755681,1.2021434,2.800862,7.603885
4,0.27666666666666667,0.0,1.9733333333333334,-2.033858,-3.3739312,-0.9505735,-1.7055094,-1.6541469,-4.006184,-1.9715708,-3.7567773,-1.2162492,-3.9543602,-1.3480395,-3.4916992,-1.2755729,-2.6713598,-0.37035364,-1.1093173,-0.71738935,-1.912395,0.8164912,1.1741587,-2.4506826,-3.4369295,-2.0121713,-4.170647,-1.5609851,-2.4165356,-1.8378984,-2.2802815,-1.9440851,-3.2646422,-2.2289007,-0.67502105,0.5072779,0.53655714,-0.34502247,0.5397633,-1.6326877,-0.8364043,-0.8436534,0.06481548,-1.8720154,-1.0675788,-1.2108613,0.8456618,1.7756238,4.71469,3.2184627,5.450961,2.5826266,2.9379854,2.4003785,3.42388,2.3683298,3.0679438,1.7860891,2.2786613,0.65392214,1.4458607,-1.7664573,-1.714716,1.4806879,3.4363346,0.44672373,2.464687,1.2846413,1.5532829,3.3901627,4.94594,2.2848747,3.2650678,3.9751828,4.8990016,3.413744,4.305193,-0.21006638,-1.541143,-1.1155621,-1.9705684,-0.3625938,-3.3452063,-0.46485266,-2.099685,-1.9022571,-1.4177427,-0.53664935,-1.1425698,-1.753032,-4.0358377,-1.6953131,-4.076789,-1.4635317,-3.5635881,0.772492,1.1470562,2.8045976,7.0950522
5,0.46153846153846156,0.0,2.234113712374582,-2.067657,-3.2041092,-0.9863258,-1.7167507,-1.7250228,-4.138417,-2.0302176,-3.8050122,-1.2494829,-4.004087,-1.4111973,-3.3882313,-1.3468931,-2.8836992,-0.3848591,-1.1099142,-0.73198146,-1.8459038,0.8012453,1.2271316,-2.4299667,-3.3496878,-2.0189826,-4.0422077,-1.539707,-2.0157552,-1.8524041,-2.054015,-1.9371586,-2.7760992,-2.21728,-0.4602821,0.5599876,0.88464373,-0.26288006,0.78572375,-1.5539762,-0.56637716,-0.7829519,0.30089816,-1.8426982,-0.9497339,-1.1311357,1.2702775,1.7636983,5.0521607,3.2271454,5.405392,2.5632324,3.0048137,2.3839047,3.3723438,2.3668275,2.9966114,1.826887,2.2752943,0.69489324,1.5880218,-1.7835083,-1.700489,1.49751,3.25112,0.51034343,2.4685564,1.2574736,1.4419924,3.4137802,4.9297047,2.294323,3.1049447,3.9917114,4.998018,3.4215202,4.2028866,-0.25491253,-1.9100304,-1.1384088,-2.4683287,-0.4067328,-3.7809916,-0.48191252,-2.3078976,-1.9281722,-1.7459334,-0.5323351,-0.72844386,-1.7646251,-4.028325,-1.6437527,-4.0733514,-1.4806607,-3.7204273,0.754455,0.9418506,2.7985108,7.066305
6,0.5466666666666666,0.0,2.2315436241610738,-2.0656285,-3.3767543,-0.97590333,-2.1121056,-1.7212441,-4.369625,-2.022014,-4.4286294,-1.2374887,-4.035593,-1.4129671,-3.6931705,-1.3672963,-2.959845,-0.39891046,-1.2658855,-0.7510436,-1.9095404,0.7837316,1.1704875,-2.443707,-3.7450435,-2.031702,-4.3547554,-1.5121799,-2.1551092,-1.8341866,-2.118402,-1.9427513,-2.7956154,-2.212055,-0.4304968,0.53332186,0.9021029,-0.28856337,0.8659255,-1.5616107,-0.41435692,-0.7921497,0.37792194,-1.8624703,-1.2761751,-1.1582245,1.2871662,1.8058282,5.725868,3.2417152,5.7582583,2.6160526,3.5680962,2.4024208,3.6632085,2.3888168,3.2298188,1.8764055,2.689657,0.6668534,1.472081,-1.7945254,-1.7054511,1.5137378,3.7559974,0.52109843,3.103623,1.2888458,1.6371987,3.4032934,5.1263294,2.3125908,3.265885,3.9724207,5.012409,3.4113958,4.5678086,-0.26320836,-2.446685,-1.1525156,-2.6410453,-0.42912927,-4.3531995,-0.48948517,-2.4568872,-1.9313082,-1.8458358,-0.54115033,-1.1271949,-1.7841141,-4.397001,-1.6751026,-4.555217,-1.5162271,-3.8774893,0.7930206,1.0313815,2.8285148,7.889107
7,0.5986622073578596,0.0,2.321070234113712,-2.0849264,-3.4163215,-1.0017418,-2.3240488,-1.7545632,-4.6453457,-2.0558968,-4.4378905,-1.246791,-4.140467,-1.450032,-3.8112924,-1.4174861,-3.2680144,-0.43852484,-1.6692795,-0.78691936,-2.3497562,0.75087774,0.7228964,-2.4315474,-3.6642547,-2.0366523,-4.175698,-1.5126096,-2.1940114,-1.8406122,-2.1012845,-1.9368546,-2.6419725,-2.1908708,-0.10349107,0.5571676,1.2647169,-0.24872208,1.2887824,-1.5250667,-0.31591168,-0.7667578,0.4534967,-1.8456059,-0.6959711,-1.1243895,1.5404162,1.7939864,5.4877,3.2387536,5.5398135,2.6198368,3.5122905,2.3904364,3.5402424,2.3847075,3.108378,1.8997636,2.7559226,0.67511463,1.406808,-1.8070618,-1.7020237,1.5368717,3.9449635,0.5551226,3.2580998,1.3065965,1.893027,3.405331,5.139781,2.3192208,3.0532963,3.9745247,5.071297,3.4144442,4.571902,-0.29096994,-2.6342964,-1.1403775,-2.5807326,-0.45121205,-4.450712,-0.48836654,-2.47691,-1.9337691,-1.9410481,-0.54884684,-1.0075396,-1.7931437,-4.396657,-1.65836,-4.4008703,-1.5118419,-3.8077242,0.7734253,0.8543353,2.840111,7.8025846
8,0.6266666666666667,0.0,2.3946488294314383,-2.1036365,-3.6762376,-1.0454273,-2.4595146,-1.8180794,-4.7935643,-2.1256564,-4.7083106,-1.2649809,-4.203843,-1.5201273,-4.0161157,-1.4843814,-3.500476,-0.49121073,-1.8202028,-0.8330343,-2.4870112,0.6972707,0.54882336,-2.4668212,-3.8298862,-2.0735478,-4.2989497,-1.4748839,-2.255108,-1.8264674,-2.172982,-1.958796,-2.6016204,-2.1826384,-0.11587447,0.55467707,1.4113123,-0.22319138,1.2958722,-1.4711707,-0.13958433,-0.72675097,0.5462337,-1.8287998,-0.6049362,-1.1061041,1.6286986,1.855152,5.4934473,3.291389,5.519316,2.659038,3.7323706,2.4225798,3.352255,2.4260347,3.0765018,1.978409,2.82752,0.6752187,1.0670562,-1.8419328,-1.9046222,1.5716265,4.1660876,0.5884655,3.3954475,1.3463966,2.4303322,3.4294693,4.9987617,2.3745682,3.1966298,3.949964,4.886055,3.4381547,4.584384,-0.34335366,-2.679924,-1.1443627,-2.4275317,-0.5286201,-4.4877152,-0.49897704,-2.3109446,-1.9260243,-1.8155004,-0.5674249,-1.3733631,-1.8714556,-4.4466505,-1.6262791,-4.3522134,-1.5572275,-3.6842422,0.8393418,0.9002891,2.856166,7.930471
